0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0.3299294,-0.22985014,0.21716797,0.9012429,0.023219807,-1.2067301,0.21881653,-0.42919755,1.3556688,-1.1325232,0.9354144,-0.70710677,-0.38501367,-0.9186696,-0.45762876,8.429395e-17,-0.1652862,-0.33002332,1.6221333,0.5883484,-0.7390824,-0.75437343,-0.5599886,-0.08681004,-0.70818126,-2.3759508,-2.4678857,-0.48529345,-2.2822726,-0.1527153,-0.70097536,-0.2554595,0.17319553,-1.0039479,-1.3482916,0.075033896,-0.4067504,-0.37854776
-0.9238023,-0.06895504,-0.66513926,0.15563096,0.034339897,0.8205765,0.21881653,-0.42919755,-0.7376433,0.88298416,-1.069045,1.4142135,1.0418017,-0.9186696,-0.45762876,2.9996943,-0.16614926,0.51515836,0.064291865,-0.78446454,-0.7390824,1.0628303,1.1322199,1.8617159,1.7227203,-0.024494337,0.10729939,1.8759929,0.074421935,1.2123104,1.4868356,0.97074604,0.8204121,1.3206781,1.1650287,1.7745626,-0.8307698,-0.37854776
0.49489412,0.4421235,-0.52170175,-0.7064829,-0.67456585,0.8205765,0.04071005,-0.42919755,-0.7376433,0.88298416,0.9354144,-0.70710677,0.5661966,-0.9186696,-0.45762876,8.429395e-17,-0.16554666,-0.33002332,1.6221333,0.5883484,1.7245256,-0.6975393,-0.46025586,-1.1174719,-1.0548526,-0.024494337,0.10729939,-1.0384619,0.074421935,-1.0392534,-0.49862072,0.97074604,-0.94269514,-0.42279133,1.1650287,-1.0468098,-0.49256384,1.0046076
-0.36292234,0.7828425,-0.52170175,2.8778913,0.20948131,0.8205765,0.48597625,1.0014609,-0.7376433,-1.1325232,0.9354144,1.4142135,-0.38501367,0.7444392,-0.45762876,-0.19158632,-0.16615435,-1.175205,-0.9742691,0.5883484,-0.7390824,-0.7316276,-0.5564727,-0.84321856,-0.81113213,-0.024494337,0.10729939,-0.67312306,0.074421935,-0.9833893,-0.50100136,0.97074604,-1.3220979,-1.0039479,-1.3482916,-1.0777571,-0.32346088,2.3877628
-1.5506682,0.10140447,2.408759,0.6837728,-0.57865506,-1.2067301,-1.2060353,-1.1445267,-0.7376433,-1.1325232,-1.069045,-0.70710677,1.0418017,0.7444392,1.9449222,8.429395e-17,-0.16420867,-0.33002332,1.1028528,0.5883484,-0.7390824,-0.6690786,-0.623375,-1.0267913,-1.0359433,-0.024494337,0.10729939,-1.0033729,0.074421935,-0.9396696,-1.103304,-1.481665,-0.8980595,-1.0039479,-1.3482916,-0.9874939,-1.0932579,-1.761703
-1.3197176,-0.20145689,0.52739316,-0.60163116,-0.93449795,0.8205765,-0.58266264,-0.42919755,-0.7376433,-1.1325232,-1.069045,1.4142135,-1.336224,-0.9186696,-0.45762876,-0.046528105,-0.16607946,-0.33002332,0.064291865,-0.78446454,-0.7390824,-0.6248267,-0.623375,-0.56675345,-0.6178366,-0.024494337,0.10729939,-0.6091371,0.074421935,-0.43446437,-1.103304,-1.481665,-0.5409745,-0.30656004,-0.09163147,-0.29117712,-0.4471332,-0.37854776
-1.7156329,-0.38128084,1.7899765,4.458433,2.1763473,-0.19307682,0.30786976,1.0014609,-0.7376433,0.88298416,0.9354144,-0.70710677,-1.336224,-0.9186696,-0.45762876,-1.7509621,-0.16609989,-0.33002332,-0.4549886,-2.1572776,-0.7390824,-0.51617473,-0.623375,-0.76802003,-0.8237384,-0.024494337,0.10729939,-0.7660058,0.074421935,-0.65549165,-1.103304,-1.481665,-0.69719917,-1.0039479,-1.3482916,-0.6238618,-1.0932579,-1.761703
0.62686586,0.054082386,-0.3782643,1.54977,-0.08798109,0.8205765,0.12976329,-0.42919755,1.3556688,-1.1325232,-1.069045,-0.70710677,-1.336224,0.7444392,-0.45762876,8.429395e-17,-0.16595179,-0.33002332,0.5835723,0.5883484,0.4927216,-0.32065186,-0.4375953,0.22283086,0.27510473,-0.024494337,2.6824846,0.49100763,2.4311163,-0.040987205,0.0036949564,-0.2554595,0.24014896,0.13511889,-0.09163147,-0.11580847,-0.3057934,-0.37854776
0.8248235,-0.012168537,0.027029932,1.1031795,-0.2617325,-0.19307682,0.396923,1.0014609,-0.7376433,0.88298416,0.9354144,1.4142135,1.0418017,-0.9186696,-0.45762876,-0.6630255,-0.16599776,-1.175205,-0.9742691,-2.1572776,-0.7390824,-0.61242783,-0.623375,-0.8587006,-1.0443474,-2.3759508,-2.4678857,-1.0219494,-2.2822726,-0.7550754,-1.103304,-1.481665,-0.67488134,-1.0039479,-1.3482916,-0.77601993,-1.0932579,-1.761703
-1.4516894,-0.28663665,-0.831927,-0.74143344,-1.0331887,0.8205765,-0.76076907,-1.1445267,-0.7376433,-1.1325232,-1.069045,-0.70710677,0.5661966,0.7444392,1.9449222,8.429395e-17,3.3940668,3.0507033,2.1414137,0.5883484,-0.7390824,3.6778665,-0.013248662,1.5808275,1.5084143,-0.024494337,0.10729939,1.4218993,0.074421935,1.9239697,0.48458484,-0.2554595,1.1774971,0.7162754,-0.09163147,2.1356158,2.0111694,1.0046076
